dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_40_MCAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1919098701282689,0.0190517389391952,40,MCAR,L,COX,9
rotterdam_missing_40_MCAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1892551250770127,0.0181496144946395,40,MCAR,L,COX,10
rotterdam_missing_10_MCAR.csv_pipeline_0_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.181553225259939,0.0167469813711853,10,MCAR,L,COX,1
rotterdam_missing_10_MCAR.csv_pipeline_0_1_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1815532252599391,0.0167469813711853,10,MCAR,L,COX,2
rotterdam_missing_10_MCAR.csv_pipeline_0_2_5_10_10_16_COX_cleaned,0.2019647365785016,0.0261539615270391,0.1852417157749165,0.0170028756219139,10,MCAR,L,COX,3
rotterdam_missing_10_MCAR.csv_pipeline_0_3_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1815532252599391,0.0167469813711853,10,MCAR,L,COX,4
rotterdam_missing_10_MCAR.csv_pipeline_0_4_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1815532252599391,0.0167469813711853,10,MCAR,L,COX,5
rotterdam_missing_10_MCAR.csv_pipeline_0_5_10_0_16_COX_cleaned,0.2019647365785016,0.0261539615270391,0.1852417157749165,0.0170028756219139,10,MCAR,L,COX,6
rotterdam_missing_10_MCAR.csv_pipeline_0_6_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2302732981651458,0.0258494238301159,10,MCAR,L,COX,7
rotterdam_missing_10_MCAR.csv_pipeline_0_7_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1815532252599391,0.0167469813711853,10,MCAR,L,COX,8
rotterdam_missing_10_MCAR.csv_pipeline_0_8_10_0_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1815532252599391,0.0167469813711853,10,MCAR,L,COX,9
rotterdam_missing_10_MCAR.csv_pipeline_0_9_10_0_16_COX_cleaned,0.628491174503431,0.0421555504567265,0.1792416320211166,0.0160265595279378,10,MCAR,L,COX,10
rotterdam_missing_10_MCAR.csv_pipeline_0_5_12_16_COX_cleaned,0.2005348702247274,0.0310925452308423,0.1873977614687014,0.0214882381439372,10,MCAR,R,COX,1
rotterdam_missing_10_MCAR.csv_pipeline_0_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1815532252599391,0.0167469813711853,10,MCAR,R,COX,2
rotterdam_missing_10_MCAR.csv_pipeline_0_8_9_12_16_COX_cleaned,0.5778850649340093,0.1057812279781665,0.1684491229808005,0.0148949367659571,10,MCAR,R,COX,3
